a,Year,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LI,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,UK,Ins. Europe,Sample
0,2004,793.975073972318,698.2489566909612,42.921955449534856,1739.20114422357,596.8787747280852,254.78903672581487,671.3786274847143,986.939729902446,107.77854582206162,488.9370380430076,492.1708624120932,731.731578381054,172.75468496537914,154.35254748962558,107.53253182031257,1009.7171625359189,548.541035773028,588.4593510145942,4718.385074200381,975.9099701072622,66.42131319847633,364.47162623328023,978.4087028491518,685.7385659139635,90.49037273617577,351.6271202148467,18.825066706626764,651.0650439519953,369.4684111075047,176.24947491236824,13.018446449651881,834.7628005390853,640.0359570798528,501.5674211963744
1,2005,825.8387420914022,702.745222039332,51.976047857556324,1770.0797408695187,654.7515614010524,268.6010784053509,671.4112723858151,1119.8925358844938,123.91480239595577,513.3333889362652,528.9680673244585,750.2777352969046,180.7671747959327,164.70715654938698,116.54251233300896,934.1698462328708,603.4402461915516,597.7217734302901,4676.656003890977,1079.72161394532,76.20614805534402,377.4505432899064,977.8893364126984,692.2997539128268,94.88230861393689,353.3773009116435,23.261802563342517,712.6199574460746,398.15336853300147,176.00666349958834,15.203677600040349,870.8735942424618,659.4919055418222,515.8917080338564
2,2006,844.2874245635425,723.1930205143339,71.8331528493558,1803.8722134901243,707.9551499991495,281.27655444475977,667.2530063352464,1167.4239538211134,144.88122947777543,541.4573428228344,543.8029675126247,756.7660175317002,186.73812209238295,181.11893798550852,124.43531887804444,908.4739253963019,678.7382554744695,607.8959408629901,5665.967228766671,1102.143317003705,99.83076177815131,465.8758300218491,1004.9460610583556,706.4998649638915,99.06468813006815,350.99427043105453,35.4735544205145,464.52497400618256,423.1461558650271,174.5406966238906,18.917247521204175,839.5398055619142,699.7770934438979,517.1050580825789
3,2007,867.4410091821981,739.8370332260258,86.44857192969327,1798.8963747036344,743.9850986875813,286.20255556026484,662.0307626907817,1319.3676063365117,185.22584888881048,556.2408627522198,534.3990994806665,771.8530336177519,225.17200060021702,197.85756577551322,128.0761292163868,831.7746199527293,764.6811507741328,611.5202759891223,7264.66216386444,1161.308477551886,153.09467374624467,476.65277523601253,1011.8601354004819,712.3167078538992,110.4926122419154,331.73182312077523,51.9029630977898,475.2273017896048,456.13335210261556,179.5488068807942,21.65208234030857,831.0802556617663,767.1460540703994,524.3519168757186
4,2008,880.7185469311527,760.6117496029293,104.71304320332774,1794.855096122049,461.41926209500303,304.37378064062756,664.2840774320055,1299.2146785902953,178.09037879368097,565.9203911827249,549.383792121625,789.219667617216,233.88615268308644,214.43641865811628,129.15723451226228,747.9981560266186,856.2181889975675,601.7437337896906,9476.223329325809,1021.0852027391542,171.1239313605864,227.789874261951,1048.7401129347722,741.2450626572436,120.9297996063354,320.3638422749425,72.40497480722628,477.38080729679854,490.9790679754799,186.3307586705536,22.728624979334853,829.567732168959,823.2230459393477,530.5142185888885
5,2009,888.7819236537766,759.0325914231086,99.98858794165882,1822.2589420496827,473.7329501963786,304.532547915592,667.0661999028417,1301.1404735238857,168.26647955914885,547.8838477726499,556.2946533005752,790.3619925979125,258.05009488726415,208.03835214316038,127.08744102584605,690.9483553703983,869.5832850882825,584.5874140978871,13412.74771185344,996.9604863221884,107.95770413094397,231.18517689316326,1016.0873727168743,774.3970267192525,126.80854509808282,299.6246136224093,68.62435026855592,467.31983085326266,504.33928601302324,179.28801663049632,19.90580783830803,827.9891531583514,942.2147254552629,527.4037670305348
6,2010,904.3729479337179,768.7351987420554,95.06965163332993,1856.5919439877414,463.9548795077764,300.8990865898837,675.0302745314228,1347.1046092104668,157.8801311042609,510.5738008201457,564.3354566922056,806.0969696227072,261.88724836632986,204.55209687487704,120.75417589305881,667.3366410019019,911.4020601443075,564.9420377308431,14075.164423466138,1386.2719244083448,93.42475643578864,229.4536346663382,1019.9101791259106,805.1121980912054,137.0503637378247,300.88296280233783,68.72399185495969,471.9267588268489,502.2042271135567,161.02671225379888,22.146821466259087,883.4196742927979,979.3199324665359,534.0405840452148
7,2011,927.3848249419354,794.9239210916676,94.15052132636616,1832.4481707584353,448.9426032240509,294.9764352174157,705.7285299250275,1388.522756392613,157.92984672773488,505.8919991899231,592.5277139257593,833.4220051788955,243.730509542413,202.94034588085245,114.70943229650766,632.9195618962733,950.541183498191,575.8642047991827,24868.107268162916,1394.1856830259458,127.54174788245479,226.27105778707391,983.1875973046986,858.9905953574032,149.01728716290182,298.06060006966044,63.18062001262502,436.75974333148486,494.5885476899935,161.33680337271807,26.5576589062987,869.5723263821158,1320.466003195673,541.4500797071499
8,2012,953.95867875831,815.0364926409068,91.86181357090682,1856.7160645519273,436.18932937050687,289.26324508896687,729.7464517309677,1398.1609197210762,167.2178971443922,498.8583886377652,623.1871151713108,852.8564500453859,207.73188353376196,199.8471003411116,112.35260550182456,597.6963306064754,1002.4559132749699,560.273496033039,12322.922681793301,1468.1215502245393,141.89741117166463,220.5744995760946,970.511790908354,890.3590351237633,153.6651565212636,284.0227401148012,59.54203975952376,438.07243797832456,472.8785655627644,159.6870060666259,31.24934501773563,878.4492943173719,933.9176165581165,546.1871608473147
9,2013,1032.790415364192,831.5780624833565,97.35296241233954,1849.4354988503617,388.64033604219065,303.3388588692445,752.0266133669439,1378.2756386638073,177.83261903355165,483.5121214308628,753.1316603871911,862.769787051441,189.57406270575623,198.9147804205453,114.49425663060431,558.3781782163526,1002.5907493571704,529.7290734941831,24402.98630861668,1626.6062613702172,63.57110983704852,235.9713047532715,941.918969938154,922.6775002537987,154.77062674930278,266.50744370065513,67.7833135374554,455.1019931322473,447.0907937115466,166.66555778072,38.04304338711475,864.0833210087249,1317.441975704907,548.31117976273
10,2014,1000.4953110010056,841.2415643368477,98.08698569069905,1832.2145176236972,396.2703962703963,309.23411610445976,774.8293393838555,1034.2153306133991,190.98371432545056,476.99275262349994,750.8342092760035,871.2924595085576,169.84742203280427,179.1902552933001,120.56741962029523,572.678903940876,1007.177335051171,505.7999099348518,25180.19601988457,1523.5482462523653,65.28208295111388,252.66403368232798,879.7757290875448,955.0014165591602,153.34894578210577,266.37243093874434,67.72208524147109,474.9123282189829,440.3737502334935,171.5304187687144,40.583544201624356,846.0751680408837,1326.541816952321,542.6872101585827
11,2015,1015.617373987848,830.2725376278981,107.83711869644357,1819.048954817563,467.52805168310095,323.8052760606927,793.3984500047088,1030.5045885692607,157.43001209245023,478.1960821376906,733.2202312494734,934.2834256489143,158.13199057139158,174.2312904807835,124.77818092266325,611.8487002063225,1052.6828838132394,491.21966236642214,24.058160082342805,1456.5686960661365,72.00054780836375,252.677448480865,869.6667823618939,974.0913128663585,154.59222158123958,281.8048973326868,73.36769508660336,494.78898726118166,436.71385649341653,177.44660969068767,47.840475970010246,894.469688211632,547.3163184446964,556.6784388921272
12,2016,1019.944782299717,705.5337581230926,111.64024084720882,1819.802136156928,483.30875531492285,320.40422712580875,806.7593328459548,1433.9990566960312,163.38081255737328,512.8972700941055,719.2962377909167,898.8699657111575,165.43413291927817,174.7710585232138,139.0156069843279,688.2782802394945,1088.0713202916681,488.00347993212824,23.894455628005456,1479.7925896617608,62.65246016037933,282.18420789716146,758.7554596469075,961.5569379743702,181.7024310956117,301.8785731149185,80.44269137093698,541.6274205554191,453.84461154172,171.75759621926883,62.37067698065787,1463.7177457944279,580.1746347529648,623.734026611911
13,2017,1045.8385031571784,713.0121753157031,120.44796131289053,1812.317722013101,506.5500548665071,338.30303408126906,827.9039199566203,1467.2064923271855,177.86088086741384,528.7136199895358,697.7635406557197,921.0008144162833,150.07160440010688,182.6326830269754,155.37301564766403,733.8459316488668,1228.305277896085,490.72903704597394,23.775646909199185,1506.3242063633147,78.6619872869101,285.2506099322828,770.5994558910991,975.8069189104073,215.15680141037302,323.9383897470826,80.46700336410557,549.3308648386247,472.4151033813432,182.87714317201326,68.40123382323732,1433.9357659020823,595.7755437361612,633.0501159120498
14,2018,1083.3950049346727,724.8602760122328,146.06420960960932,1815.1094143873768,520.6911075215567,358.2242617587616,851.0,1405.742895690832,242.43196099256105,555.6335812034207,708.3090730673864,949.568812891508,153.9870209609479,203.6149145456833,172.05824592580393,799.988202140772,1325.0070826480642,501.5047539949137,23.586010642725018,1596.382089849752,84.4715539198885,315.8917050836555,796.1662954444552,1009.3607333293027,228.08845678130507,319.9566425935915,83.71934139171746,546.7494757404595,503.2028951850132,195.65984214935554,80.1787302750917,1607.585468152207,616.393608280124,667.8285519789133
15,2019,1126.9052436708237,762.6345794223727,170.62707151004105,1828.7372599938008,414.43134425316157,404.4255321539806,881.7838347853285,1471.0448139038335,202.4425959753023,552.3354040495932,701.3513609025431,981.8112138228704,157.48840586020978,225.1832690099216,201.48312037921454,860.986817862045,1374.742465904428,517.3663831069903,23.423763865673596,2019.9464402649317,89.2983633060551,332.361480592999,819.6890632266343,1065.2568563137615,236.84990820499362,348.25422634002996,91.75334886726205,559.44674635645,533.2191524084678,198.70057529595928,93.95733805921532,1556.7299034494367,643.3445504921382,679.7696394322479
